,date,pretty_date,imo,jwu,description,year,month,day,day_int,imo_lat,imo_lon,jwu_lat,jwu_lon,distance,log_distance
0,15-08-2022,"Mon, Aug 15, 22",The Bluffs,The Bluffs,leezard+b visit sd,2022,8,15,20220815,33.178038,-117.3221882,33.178038,-117.3221882,0.0,0.0
1,14-08-2022,"Sun, Aug 14, 22",p's,p's,visit b+p in sf!,2022,8,14,20220814,37.811189,-122.271478,37.811189,-122.271478,0.0,0.0
2,13-08-2022,"Sat, Aug 13, 22",p's,p's,visit b+p in sf!,2022,8,13,20220813,37.811189,-122.271478,37.811189,-122.271478,0.0,0.0
3,12-08-2022,"Fri, Aug 12, 22",p's,p's,visit b+p in sf!,2022,8,12,20220812,37.811189,-122.271478,37.811189,-122.271478,0.0,0.0
4,11-08-2022,"Thu, Aug 11, 22",p's,p's,visit b+p in sf!,2022,8,11,20220811,37.811189,-122.271478,37.811189,-122.271478,0.0,0.0
5,10-08-2022,"Wed, Aug 10, 22",p's,p's,visit b+p in sf!,2022,8,10,20220810,37.811189,-122.271478,37.811189,-122.271478,0.0,0.0
6,09-08-2022,"Tue, Aug 9, 22",p's,p's,visit b+p in sf!,2022,8,9,20220809,37.811189,-122.271478,37.811189,-122.271478,0.0,0.0
7,08-08-2022,"Mon, Aug 8, 22",The Bluffs,The Bluffs,leezard visits clover in sd,2022,8,8,20220808,33.178038,-117.3221882,33.178038,-117.3221882,0.0,0.0
8,07-08-2022,"Sun, Aug 7, 22",The Bluffs,The Bluffs,leezard visits clover in sd,2022,8,7,20220807,33.178038,-117.3221882,33.178038,-117.3221882,0.0,0.0
9,06-08-2022,"Sat, Aug 6, 22",The Bluffs,The Bluffs,leezard visits clover in sd,2022,8,6,20220806,33.178038,-117.3221882,33.178038,-117.3221882,0.0,0.0
10,05-08-2022,"Fri, Aug 5, 22",The Bluffs,The Bluffs,leezard visits clover in sd,2022,8,5,20220805,33.178038,-117.3221882,33.178038,-117.3221882,0.0,0.0
